trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
0010cd471de97a8e6f673848c8005cc9,193.190,2.670,0.460,0.440,1.580,4.690,0.240,177.670,173.780,0.130,3.570,0.190,4.300,79.056,4.411,0.870,0.790,3.340,7.241,0.660,52.973,46.603,0.340,5.740,0.290,6.871,223.480,0.200,1.260,1.710,0.390,213.220,207.550,0.180,2.540,0.060,2.740,0.680,0.310,0.070,217.040,17.231,0.850,0.240,1.560,0.440,0.090,4.900,0.500,0.190,1.610,6.251,10.015,49.307,17.871
00160cb066ba2a0b44ec962ff19910d7,199.490,2.850,0.450,0.410,1.510,4.790,0.270,183.770,179.810,0.120,3.640,0.200,4.270,82.876,4.841,0.930,0.840,3.710,7.630,0.660,55.144,47.984,0.320,6.440,0.400,7.161,228.840,0.210,1.300,1.820,0.420,219.600,213.870,0.190,2.540,0.070,2.760,0.620,0.320,0.090,222.280,18.192,1.040,0.330,1.611,0.440,0.100,5.231,0.510,0.170,1.640,6.361,10.055,50.447,18.476
00178696a93dc7e0a2d85e50592e3863,493.010,2.890,0.500,0.470,1.560,4.880,0.360,475.620,348.520,0.120,3.640,123.340,5.390,248.747,4.860,0.930,0.830,3.711,7.320,0.720,220.766,54.584,0.310,6.491,159.381,7.560,527.280,0.210,1.260,1.980,0.600,516.610,511.340,0.190,2.470,0.110,2.290,1.060,0.280,0.100,520.130,24.712,0.910,0.290,9.321,0.420,0.110,12.511,0.570,0.290,1.520,6.341,11.800,113.436,98.027
0022a7cdc3bad292ab3948d5ea5ac294,212.350,2.820,0.560,0.410,1.590,4.620,0.300,196.620,192.730,0.140,3.590,0.160,4.260,95.957,4.740,0.950,0.870,3.750,7.611,0.720,68.145,60.344,0.320,7.161,0.320,7.150,242.100,0.210,1.350,1.810,0.340,232.110,226.690,0.190,2.430,0.080,2.600,0.680,0.310,0.080,234.960,16.441,0.620,0.470,2.040,0.450,0.090,4.910,0.530,0.180,1.330,7.021,9.880,50.331,25.852
002be9b966684ead937102a9218e4624,193.350,2.890,0.460,0.450,1.680,4.670,0.310,177.210,173.290,0.120,3.660,0.140,4.360,78.595,4.450,0.900,0.860,3.180,7.241,0.700,52.554,45.533,0.290,6.351,0.380,6.830,223.590,0.210,1.300,2.020,0.370,212.980,207.340,0.210,2.500,0.080,2.680,0.680,0.360,0.080,215.610,15.561,0.960,0.300,1.570,0.480,0.100,4.670,0.490,0.190,1.600,5.361,9.815,49.307,18.497
0032b8bdff92b86f303fc928486c2fe0,181.170,3.630,0.640,0.570,2.170,5.660,0.360,161.830,159.810,0.120,1.720,0.180,4.960,80.736,4.620,0.860,0.810,3.461,7.200,0.690,54.584,48.124,0.260,5.840,0.360,6.701,219.700,0.230,1.330,1.780,1.080,205.830,199.030,0.210,2.100,0.190,4.110,1.800,0.300,0.090,210.980,16.041,0.790,0.200,1.550,0.480,0.100,4.410,0.470,0.240,1.600,5.220,12.330,40.547,19.271
003c667e6857d81bddc060a061ea5f8d,183.680,4.720,0.810,0.940,3.160,7.020,0.410,159.960,157.660,0.250,1.820,0.230,5.280,77.766,4.510,0.831,0.830,3.440,7.330,0.730,51.324,44.624,0.300,6.010,0.390,6.851,220.420,0.320,2.090,2.070,0.350,206.490,201.390,0.200,2.070,0.050,2.670,0.850,0.670,0.080,210.560,14.691,0.760,0.190,1.530,0.400,0.100,4.001,0.430,0.210,1.520,5.430,11.405,41.097,18.317
003ccba0e41ebae268b4169d0e917c02,201.580,2.990,0.540,0.520,1.610,4.690,0.380,185.460,181.590,0.130,3.570,0.170,4.280,85.656,4.770,0.970,0.870,3.571,7.700,0.760,57.994,50.734,0.340,6.610,0.310,7.031,232.560,0.200,1.370,1.850,0.360,222.170,216.520,0.190,2.500,0.060,2.790,0.720,0.330,0.080,225.810,18.082,1.060,0.350,1.771,0.530,0.110,5.521,0.570,0.210,1.810,5.461,10.295,49.902,19.956
003f535ed5bac3af9667569b47672385,200.150,2.960,0.520,0.570,1.620,4.620,0.310,184.220,180.400,0.110,3.570,0.140,4.230,83.376,4.760,0.970,0.860,3.960,8.041,0.830,54.654,47.323,0.270,6.681,0.380,7.270,230.420,0.210,1.330,1.810,0.400,220.330,214.640,0.190,2.500,0.080,2.810,0.830,0.360,0.080,223.590,17.121,0.790,0.200,1.760,0.470,0.090,4.290,0.500,0.180,1.610,5.630,10.090,50.422,18.767
0042b8eb7b12e1335dc31e28e014f546,198.910,2.830,0.470,0.430,1.530,4.590,0.260,183.260,179.350,0.120,3.620,0.170,4.320,82.876,4.851,0.910,0.810,3.580,7.770,0.751,55.223,48.153,0.350,6.360,0.360,7.011,231.400,0.220,1.250,1.940,0.380,218.680,213.130,0.190,2.520,0.070,2.640,0.730,0.300,0.070,222.480,18.722,0.940,0.280,1.721,0.450,0.090,5.211,0.500,0.200,1.540,7.081,9.885,50.192,18.250
00444987bb165d8885406c8acad4df08,197.690,2.850,0.510,0.480,1.470,4.700,0.300,181.940,178.060,0.120,3.590,0.170,4.210,82.116,4.791,0.990,0.890,3.660,7.640,0.751,54.293,47.193,0.370,6.400,0.330,7.171,229.100,0.190,1.270,1.580,0.360,217.840,212.230,0.190,2.490,0.070,2.690,0.720,0.310,0.090,221.800,16.572,0.951,0.300,1.530,0.480,0.080,4.741,0.520,0.210,1.730,6.241,10.075,49.912,18.860
004dd7f45ff467436837dc8ae774ed2b,207.220,3.660,0.760,0.770,2.220,5.640,0.310,187.650,183.610,0.180,3.660,0.200,4.780,86.536,4.930,0.900,1.000,4.001,7.860,0.780,57.594,50.164,0.300,6.760,0.370,7.421,247.180,0.220,1.350,1.860,0.890,233.240,225.750,0.230,2.730,0.170,4.220,1.430,0.260,0.090,239.570,19.292,0.960,0.260,1.580,0.490,0.110,5.111,0.471,0.220,1.660,5.631,13.010,50.557,19.151
004ec1271e2e9cf79dcb90e8c562e772,188.300,2.850,0.540,0.510,1.590,4.660,0.300,172.360,169.700,0.110,2.410,0.140,4.370,83.446,4.830,1.110,0.840,3.851,7.920,0.710,55.224,47.954,0.300,6.610,0.360,7.021,218.510,0.220,1.260,1.770,0.400,208.530,202.980,0.190,2.340,0.080,2.780,1.000,0.310,0.090,211.470,15.691,0.870,0.220,1.560,0.450,0.100,4.500,0.470,0.200,1.560,5.540,10.115,44.457,19.767
004f429ecc93d4e05c6b7a2867a71939,189.980,2.880,0.520,0.500,1.600,4.670,0.270,174.100,171.410,0.160,2.380,0.150,4.310,84.516,4.541,0.970,0.910,3.560,7.941,0.690,56.764,49.483,0.310,6.621,0.350,7.130,221.860,0.200,1.340,1.890,0.440,210.050,204.520,0.190,2.290,0.060,2.770,0.830,0.270,0.090,214.120,17.521,0.910,0.270,1.470,0.520,0.090,5.070,0.460,0.220,1.630,5.691,10.035,44.792,19.622
0056363e824bb33ee12e7b56d5b75db4,218.670,2.840,0.540,0.430,1.500,4.590,0.290,203.200,199.370,0.180,3.470,0.180,4.090,103.078,4.721,0.950,0.800,3.700,7.561,0.790,75.635,69.055,0.320,5.920,0.340,6.811,249.010,0.190,1.220,1.750,0.380,239.060,233.440,0.180,2.430,0.070,2.790,0.710,0.300,0.090,242.610,32.062,1.740,0.570,9.001,0.610,0.090,14.571,0.670,0.280,2.190,7.010,10.195,50.061,21.787
