trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
001a3152eabaec670cd27b3557560dfb,183.000,4.670,0.840,0.840,2.910,7.680,0.550,159.590,157.070,0.300,1.870,0.350,4.350,,,,,,,,,,,,,,256.060,0.770,3.410,2.610,0.790,224.430,219.610,0.200,2.510,0.210,1.730,1.280,0.960,0.130,229.280,25.952,1.280,0.330,1.960,0.420,0.100,6.501,0.510,0.260,1.780,11.761,20.715,,
001bc88cd42c5e8692c5ac2369aa84f7,250.290,2.850,0.580,0.380,1.320,4.510,0.390,234.290,231.760,0.350,1.860,0.320,4.490,,,,,,,,,,,,,,298.790,0.240,2.020,1.660,1.510,278.990,270.580,0.610,3.510,0.230,3.560,1.880,0.600,0.080,287.110,30.052,1.300,0.360,2.031,0.580,0.110,7.591,0.570,0.210,2.221,11.440,14.350,,
001dfee1520549dfe834dad1ddba164f,313.940,2.820,0.500,0.630,1.640,4.430,0.290,298.780,287.120,9.790,1.660,0.210,3.730,,,,,,,,,,,,,,404.710,1.310,1.880,2.020,1.050,382.050,366.880,0.960,3.680,0.070,9.980,2.720,0.390,0.090,391.050,32.023,2.821,0.630,6.910,0.670,0.110,13.211,0.660,0.300,2.470,9.161,34.055,,
0020f1ca966513c5efb6db3e1e1d0a2a,313.130,3.010,134.650,0.770,2.330,6.000,0.360,160.740,158.420,0.360,1.710,0.250,3.960,,,,,,,,,,,,,,375.470,0.480,2.990,2.260,0.760,357.420,353.980,0.210,1.540,0.100,1.450,1.000,0.910,0.110,361.950,21.692,1.020,0.290,2.410,0.620,0.100,6.001,0.730,0.320,2.090,9.151,22.145,,
0021ce7e21aa1d25647f2d152d03e751,353.110,3.600,0.600,0.960,3.440,5.050,0.430,333.130,318.390,12.180,2.160,0.400,4.180,,,,,,,,,,,,,,466.880,0.930,1.980,2.720,0.860,449.090,442.880,0.380,2.310,0.210,3.100,2.440,0.610,0.080,455.410,23.592,1.080,0.520,2.200,0.490,0.100,5.660,0.570,0.290,1.930,9.101,47.990,,
0025b0e8cc51ff272fe5586d3992ec9c,254.990,4.390,1.040,1.380,6.080,6.240,0.350,225.890,186.490,35.240,3.300,0.860,7.140,,,,,,,,,,,,,,409.600,1.420,1.850,3.360,1.420,381.730,341.540,1.240,3.200,0.730,34.170,3.310,0.280,0.080,392.080,19.201,1.160,0.350,2.040,0.540,0.100,6.900,0.660,0.250,2.061,5.450,63.370,,
0026a19ecf95940c81518959e160ef6a,130.460,5.190,0.730,0.720,2.180,5.720,0.440,109.850,107.680,0.190,1.740,0.240,4.120,,,,,,,,,,,,,,223.840,0.640,3.160,3.570,0.920,202.050,195.540,0.610,1.990,0.050,3.410,1.440,0.800,0.090,208.170,18.791,1.150,0.380,1.890,0.550,0.100,6.030,0.590,0.300,1.990,5.780,35.795,,
002955c69e199e69445c1f035700f804,201.260,2.790,0.530,0.500,1.770,4.420,0.320,185.090,180.900,0.280,3.680,0.230,4.280,,,,,,,,,,,,,,280.400,1.250,2.350,4.280,2.640,244.380,232.250,0.560,3.650,0.160,7.100,4.050,0.550,0.070,257.740,31.542,2.120,0.880,4.480,0.500,0.100,11.061,0.560,0.290,1.910,11.451,21.560,,
002a9c63a389e98753358a6ec43d74f4,243.970,3.850,1.240,0.890,4.710,6.080,0.450,220.180,215.700,0.540,3.530,0.410,4.890,,,,,,,,,,,,,,358.560,1.590,1.700,6.090,1.020,328.680,319.600,1.160,2.570,0.390,4.230,1.920,0.260,0.080,336.480,17.882,1.181,0.330,1.820,0.500,0.100,5.220,0.580,0.340,1.650,6.181,42.355,,
002d28310226a924aa3e54cd7fb97cc0,232.910,3.240,0.720,1.010,3.300,4.830,0.400,213.580,211.210,0.380,1.630,0.360,4.040,,,,,,,,,,,,,,340.870,1.600,1.980,3.730,0.940,310.480,303.610,1.090,2.570,0.070,2.500,1.960,0.590,0.080,320.500,17.912,0.940,0.531,1.860,0.440,0.100,5.761,0.800,0.210,1.570,7.161,38.785,,
002db78d76a9787078dd9b1606db959a,216.510,3.070,0.530,0.810,2.180,4.920,0.330,194.220,190.440,0.530,2.800,0.450,8.330,,,,,,,,,,,,,,352.850,1.680,2.210,4.160,0.750,322.630,310.910,1.140,3.660,0.070,6.310,2.230,0.700,0.090,330.380,22.772,1.640,0.501,2.260,0.520,0.110,7.341,0.710,0.230,2.570,8.671,53.060,,
002fdba9306db9dc9de8409a5cf80663,349.310,3.270,0.550,0.670,2.080,5.240,0.330,332.090,329.930,0.310,1.570,0.280,3.790,,,,,,,,,,,,,,457.280,0.950,1.620,4.550,1.040,428.130,414.320,0.720,8.870,0.110,3.540,1.860,0.440,0.090,435.360,30.082,1.780,0.750,2.810,0.620,0.100,10.411,1.040,0.210,2.220,8.781,39.410,,
00316bbf414b491415240e3a90bf6899,171.550,3.030,0.530,0.500,1.710,4.560,0.380,154.990,152.940,0.300,1.530,0.220,4.440,,,,,,,,,,,,,,280.290,1.600,1.670,2.410,0.900,253.420,239.100,1.070,6.200,0.480,5.850,3.890,0.350,0.090,264.190,17.451,1.050,0.300,1.790,0.510,0.090,5.310,0.510,0.230,1.670,4.320,40.935,,
0034dfad73d37bd4d675cd88daa210d5,228.540,2.980,0.570,0.990,3.840,5.310,0.490,207.730,205.210,0.260,1.890,0.370,4.660,,,,,,,,,,,,,,313.910,1.620,2.070,5.210,1.090,281.660,269.640,0.880,4.090,0.440,6.170,3.460,0.470,0.090,292.730,70.495,13.391,0.450,23.751,0.610,0.220,37.202,1.080,0.640,2.250,8.401,26.560,,
00360f07022777f13888d3facb2f1c14,226.930,3.420,0.740,0.860,2.280,5.500,0.360,207.710,204.770,0.310,2.330,0.300,4.580,,,,,,,,,,,,,,292.340,0.240,1.390,2.090,0.670,272.900,260.300,0.790,4.610,0.150,6.510,1.850,0.310,0.090,280.440,27.372,1.310,0.380,1.941,0.600,0.100,6.801,0.680,0.400,2.150,9.601,22.985,,
