trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
000ee5a3cac08b3ebb2613789261f05d,,,,,,,,,,,,,,,,,,,,,,,,,,,156.520,0.180,1.930,6.230,1.430,124.640,108.380,1.110,2.950,0.050,11.440,3.460,0.270,0.090,137.200,24.761,1.910,0.610,1.750,0.610,0.110,8.250,0.710,0.240,2.330,6.170,,,
001255c82cfc1da3678f464f32e87c2c,,,,,,,,,,,,,,,,,,,,,,,,,,,138.910,0.200,1.630,7.730,0.430,121.690,114.360,0.210,2.650,0.070,4.300,0.760,0.380,0.090,125.780,26.712,1.960,0.550,2.540,0.530,0.100,8.070,0.720,0.280,2.180,8.411,,,
00133749b118dc63110c9db45583e3ec,,,,,,,,,,,,,,,,,,,,,,,,,,,145.820,0.200,2.320,7.730,1.350,113.190,98.150,1.160,1.120,0.270,11.740,3.110,0.510,0.090,124.180,19.852,0.940,0.280,2.030,0.470,0.090,5.541,0.610,0.230,1.690,7.750,,,
0014666839f92526944d906621cb9618,,,,,,,,,,,,,,,,,,,,,,,,,,,132.450,0.210,1.290,7.690,0.790,116.780,109.730,0.460,2.880,0.060,3.460,0.630,0.290,0.090,120.010,23.822,1.160,0.340,1.921,0.490,0.100,5.781,0.550,0.220,2.170,9.341,,,
001c0a24963b79875ed8221d7a4f458b,,,,,,,,,,,,,,,,,,,,,,,,,,,195.850,0.180,2.150,8.310,1.470,161.950,145.260,1.200,1.820,0.040,12.920,3.570,0.600,0.080,174.900,36.052,1.920,0.610,10.270,0.500,0.120,16.221,0.780,0.250,2.160,9.481,,,
001eed82b6c1025ffe2ae08909acb7f7,,,,,,,,,,,,,,,,,,,,,,,,,,,149.050,0.200,2.090,9.220,1.890,113.600,97.920,1.150,1.810,0.040,11.640,3.160,0.550,0.090,126.730,19.811,0.900,0.260,1.730,0.480,0.110,5.180,0.530,0.200,1.570,7.881,,,
001f9cc21d7c2f7cf5803b1da160364a,,,,,,,,,,,,,,,,,,,,,,,,,,,126.370,0.220,1.520,7.350,0.750,103.880,91.380,0.690,2.920,0.040,8.640,1.600,0.420,0.090,111.020,16.871,1.040,0.290,2.170,0.590,0.100,6.031,0.630,0.250,1.930,4.580,,,
00215c5aefdf9358006a8a0b19387be0,,,,,,,,,,,,,,,,,,,,,,,,,,,153.020,0.220,2.090,8.740,1.160,121.490,106.910,1.160,1.600,0.040,11.000,3.780,0.580,0.090,133.150,16.352,1.311,0.270,2.280,0.510,0.100,6.001,0.560,0.180,1.920,4.321,,,
002ae999203bdca8135aae9545515da5,,,,,,,,,,,,,,,,,,,,,,,,,,,148.530,0.190,2.200,9.250,1.260,114.790,99.100,1.160,1.800,0.050,11.960,3.520,0.690,0.090,126.040,19.992,0.810,0.220,2.050,0.470,0.100,5.081,0.540,0.250,1.680,8.300,,,
002bffd5a7dfe37d22eeb2d6bdac8065,,,,,,,,,,,,,,,,,,,,,,,,,,,186.180,0.600,3.670,15.850,3.850,122.740,102.160,0.690,5.140,0.090,7.390,5.650,1.120,0.090,146.240,19.521,0.810,0.210,1.880,0.500,0.090,4.900,0.560,0.380,1.650,7.740,,,
003156ba8a5148ac2a3b5d493edfe1fa,,,,,,,,,,,,,,,,,,,,,,,,,,,166.120,0.220,2.150,8.990,1.550,132.050,116.470,1.240,1.670,0.050,11.800,3.290,0.590,0.090,143.440,33.602,2.280,0.790,2.390,0.460,0.100,10.501,0.770,0.250,2.540,5.130,,,
0033bd2a5365cc07107b93c817891788,,,,,,,,,,,,,,,,,,,,,,,,,,,296.400,0.220,2.230,6.420,1.580,265.940,249.640,1.100,3.040,0.050,11.340,3.300,0.640,0.090,277.450,111.007,28.822,1.150,26.642,1.010,0.170,70.265,2.610,0.640,3.191,10.160,,,
0035d04d9224d0c40d649505d2d870af,,,,,,,,,,,,,,,,,,,,,,,,,,,139.670,0.320,2.080,8.660,1.500,106.750,90.680,1.220,1.740,0.040,12.080,3.850,0.570,0.090,118.030,18.651,0.940,0.300,1.610,0.490,0.110,5.300,0.510,0.260,1.720,4.710,,,
0041e10409957997a86e4c2d26cc3ff4,,,,,,,,,,,,,,,,,,,,,,,,,,,151.420,0.310,1.720,7.850,0.770,125.420,115.580,0.500,2.670,0.070,6.200,1.820,0.450,0.090,132.670,26.912,2.000,0.600,2.480,0.600,0.110,8.371,0.670,0.350,2.190,7.531,,,
0048a80c5a63cd7dbe39926c0a021caa,,,,,,,,,,,,,,,,,,,,,,,,,,,149.370,0.210,1.470,7.520,0.720,126.080,116.760,0.470,2.720,0.070,5.740,1.530,0.390,0.090,132.900,27.642,2.460,0.761,2.950,0.660,0.100,9.941,0.890,0.220,2.420,6.390,,,
