trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
0015f16586d8fd38f106ca4754703e32,129.750,2.680,0.460,0.510,1.580,4.680,0.290,114.220,110.180,0.120,3.770,0.150,4.170,,,,,,,,,,,,,,161.100,0.230,1.190,1.740,0.390,150.880,144.910,0.200,2.360,0.070,3.160,0.700,0.270,0.090,154.660,27.141,0.990,0.280,10.830,0.470,0.090,14.521,0.530,0.200,1.840,4.820,10.565,,
001c98aca9d880974a021cab131e2267,138.870,2.860,0.450,0.400,1.570,4.800,0.270,123.270,119.180,0.150,3.820,0.120,4.090,,,,,,,,,,,,,,172.220,0.210,1.190,1.750,0.400,161.990,156.250,0.200,2.450,0.090,2.880,0.640,0.270,0.090,165.890,22.872,2.090,0.640,1.950,0.500,0.110,7.861,0.730,0.230,2.060,6.081,11.560,,
00204cd686a972e9c05e298eedeeaab3,138.560,2.760,0.530,0.510,1.630,5.090,0.260,122.400,118.550,0.150,3.580,0.120,4.140,,,,,,,,,,,,,,169.770,0.250,1.810,2.220,0.460,158.070,152.510,0.200,2.440,0.070,2.730,0.850,0.420,0.110,161.010,25.162,1.750,0.600,2.220,0.670,0.110,7.640,0.670,0.200,1.950,8.771,9.755,,
00204fc18eb595a2d8271ab63568473c,131.370,2.820,0.510,0.410,1.400,4.750,0.270,115.810,111.810,0.130,3.720,0.150,4.220,,,,,,,,,,,,,,163.940,0.190,1.280,1.600,0.380,151.590,145.920,0.200,2.480,0.090,2.800,0.880,0.240,0.080,156.280,18.462,0.940,0.280,1.671,0.490,0.090,4.721,0.510,0.230,1.610,7.881,10.110,,
0022565281fc5b0c652062ba6c9bc6a1,147.770,2.750,0.470,0.450,1.540,4.780,0.310,130.970,127.040,0.130,3.660,0.140,4.110,,,,,,,,,,,,,,177.020,0.210,1.220,1.670,0.390,167.950,162.270,0.200,2.430,0.090,2.830,0.700,0.270,0.080,170.820,25.102,1.030,0.290,9.031,0.460,0.100,12.891,0.540,0.240,1.770,4.651,10.090,,
002784ed79568d7e349e39c8305a9dd5,120.380,2.760,0.450,0.470,1.580,4.770,0.310,104.680,102.040,0.120,2.380,0.140,4.240,,,,,,,,,,,,,,151.020,0.190,1.220,1.780,0.410,140.390,134.970,0.210,2.280,0.080,2.740,0.680,0.260,0.080,144.140,18.961,0.940,0.280,1.860,0.450,0.100,4.960,0.520,0.370,1.640,7.640,10.005,,
0027cc6781f479bdc4e38281569da576,124.590,2.730,0.490,0.420,1.530,4.680,0.320,109.080,106.950,0.130,1.660,0.340,4.190,,,,,,,,,,,,,,154.830,0.220,1.270,1.580,0.330,144.250,139.210,0.210,1.930,0.080,2.700,0.850,0.270,0.090,148.370,27.922,1.750,0.560,2.360,0.540,0.090,8.241,0.721,1.700,2.490,8.381,9.830,,
00289a07739f1119864f9003700592e4,142.020,3.120,0.520,0.460,1.640,4.810,0.280,125.730,121.810,0.130,3.620,0.170,4.250,,,,,,,,,,,,,,172.030,0.210,1.190,1.910,0.400,162.200,156.710,0.190,2.480,0.080,2.620,0.900,0.270,0.080,164.980,27.562,2.040,0.610,2.060,0.480,0.090,8.351,0.740,0.450,2.220,9.151,10.090,,
002bc6519c587aad290ce7d7c19ce07a,137.340,2.750,0.420,0.410,1.590,4.700,0.280,121.800,117.920,0.120,3.620,0.140,4.240,,,,,,,,,,,,,,168.650,0.200,1.240,1.790,0.360,158.550,152.910,0.210,2.470,0.080,2.760,0.690,0.280,0.090,162.220,22.731,1.190,0.330,2.240,0.511,0.090,6.270,0.580,0.310,1.721,9.130,10.605,,
0034ab7de44d1d67c0b94feb05302fbc,127.780,2.900,0.490,0.380,1.500,4.630,0.280,112.360,108.520,0.130,3.560,0.150,4.140,,,,,,,,,,,,,,157.930,0.210,1.300,1.880,0.430,148.050,142.320,0.210,2.530,0.080,2.780,0.770,0.310,0.090,150.980,17.841,0.960,0.290,1.720,0.490,0.100,4.690,0.580,0.240,1.690,7.231,10.135,,
0036b242edfa38332bebba912ece5d9f,131.510,2.880,0.450,0.440,1.450,4.710,0.260,115.960,111.990,0.100,3.720,0.150,4.190,,,,,,,,,,,,,,160.780,0.210,1.270,1.890,0.360,151.500,145.670,0.200,2.670,0.090,2.690,0.590,0.260,0.100,154.150,19.871,0.980,0.250,1.960,0.610,0.100,5.380,0.660,0.210,1.790,7.811,9.995,,
0037c1c30b8da0754cdd1fb80848b8c5,107.630,2.780,0.470,0.480,1.520,4.700,0.250,91.870,89.260,0.120,2.350,0.140,4.160,,,,,,,,,,,,,,139.790,0.210,1.260,1.860,0.460,127.590,121.990,0.190,2.270,0.080,2.910,0.860,0.310,0.090,131.880,17.021,0.810,0.210,1.840,0.440,0.100,5.131,0.610,0.230,1.580,4.460,9.980,,
00388a001edc44e81e65ac182e9fb287,140.450,2.960,0.710,0.530,1.460,4.950,0.270,124.140,121.500,0.170,2.300,0.170,4.250,,,,,,,,,,,,,,170.790,0.210,1.240,1.780,0.450,161.020,155.300,0.300,2.110,0.110,3.060,0.760,0.260,0.080,164.070,28.452,1.950,0.540,2.010,0.440,0.090,9.731,2.340,0.300,2.350,8.341,10.285,,
0040ac4b22c790e4fa29d82328a50850,119.990,2.870,0.420,0.470,1.500,4.790,0.340,104.050,101.260,0.300,2.320,0.170,4.250,,,,,,,,,,,,,,150.630,0.220,1.260,1.840,0.370,139.760,134.220,0.200,2.260,0.080,2.870,0.840,0.320,0.090,143.000,19.442,1.010,0.260,2.011,0.480,0.100,5.351,0.680,0.370,1.720,7.271,9.885,,
0044d68f141680e3dbf6ead56e7bd665,120.220,2.790,0.390,0.420,1.570,4.740,0.280,104.700,100.860,0.110,3.570,0.160,4.150,,,,,,,,,,,,,,150.350,0.200,1.200,1.670,0.410,140.020,134.520,0.200,2.360,0.080,2.690,0.680,0.260,0.090,143.540,17.962,1.000,0.300,1.880,0.510,0.090,5.861,0.550,0.290,1.800,4.420,9.900,,
